menu_item_id,nombre,categoria,activo,clasificacion,recomendacion,decision_daniel
ws-be5008,UNICORP JUGO ALERT 473ML,jugos,SI,SIN_FUENTE,direct_stock (embotellado),
ws-be5010,UNICORP JUGO BE INMUNE 473ML,jugos,SI,SIN_FUENTE,direct_stock (embotellado),
ws-be5007,UNICORP JUGO DR DETOX 473ML,jugos,SI,SIN_FUENTE,direct_stock (embotellado),
ws-be5006,UNICORP JUGO GREEN ALCHEMIST 473ML,jugos,SI,SIN_FUENTE,direct_stock (embotellado),
ws-be5009,UNICORP JUGO U GLOW 473ML,jugos,SI,SIN_FUENTE,direct_stock (embotellado),
ws-vl002,400 CONEJOS 2OZ,licores,SI,RECETA_INVALIDA,direct_stock (oz) o arreglar,
ws-boh025,JOHNNIE WALKER 2OZ,licores,SI,SIN_FUENTE,direct_stock (oz),
ws-vl022,MEZCAL VERDE AMARAS ESPADIN,licores,SI,SIN_FUENTE,direct_stock,
ws-vl005,MTRO TEQ. DOBEL 2OZ,licores,SI,SIN_FUENTE,direct_stock (oz),
ws-lic15032501,MTRO TEQ. REPOSADO 2OZ,licores,SI,SIN_FUENTE,direct_stock (oz),
ws-mun007,FRESH & HEALTHY PAVO,munchies,SI,SIN_FUENTE,crear receta,
bk2,HEALTHY CRUNCHY MIX,munchies,SI,SIN_FUENTE,direct_stock,
ws-mun001,PLATO CRUDITIES SALSA ROJAMAICA,munchies,SI,SIN_FUENTE,crear receta,
ws-keb004,BISKETO HARINA ALMENDRA,pancakes,SI,SIN_FUENTE,crear receta,
promo4,FRENCH TOAST,pancakes,SI,SIN_FUENTE,crear receta,
pw3,Red Velvet Pancakes,pancakes,NO,NO_ACTION,inactivo,
pn2,Caprese Panini,paninis,NO,NO_ACTION,inactivo,
promo1,COMBO AMALAY,paninis,SI,RECETA_INVALIDA,combo → non_inventory (componentes deplietan),
ws-promo190125,COZY COMBO (SOPA/PANNINI),paninis,SI,SIN_FUENTE,combo → non_inventory,
ws-promo190126,COZY COUPLE (PAN/CAFE),paninis,SI,SIN_FUENTE,combo → non_inventory,
ws-syp003,TURKEY PANINI,paninis,SI,SIN_FUENTE,crear receta,
ws-syp004,VEGAN PANINI,paninis,SI,RECETA_INVALIDA,arreglar unidad/ingrediente,
ws-sou013,PASTA BOLOGESE,pizzas,SI,SIN_FUENTE,crear receta,
pz4,Pasta Bolognese,pizzas,NO,NO_ACTION,inactivo,
pz3,PIZZA MARGARITA,pizzas,SI,SIN_FUENTE,crear receta,
ws-pzz002,PIZZA PEPERONI,pizzas,SI,SIN_FUENTE,crear receta,
pz2,Pizza Pepperoni,pizzas,NO,NO_ACTION,inactivo,
ws-pzz004,PIZZA PROSCIUTO,pizzas,SI,SIN_FUENTE,crear receta,
ws-pos051,AMALAY TRIPLE CHOCOLATE,postres,SI,SIN_FUENTE,direct_stock (rebanada),
ws-pos015,COCADA,postres,SI,SIN_FUENTE,direct_stock,
ws-pos010,PASTEL CUMPLEANOS AMALAY,postres,SI,SIN_FUENTE,direct_stock,
ds5,Pastel de Chocolate,postres,NO,NO_ACTION,inactivo,
ds4,Tiramisu,postres,NO,NO_ACTION,inactivo,
ws-amapro27022502,CROQUE MONSIEUR,promos,SI,SIN_FUENTE,crear receta,
sm5,Smoothie Choco-Peanut Butter,smoothies,NO,RECETA_INVALIDA,inactivo,
sm1,SMOOTHIE MANGO-MATCHA,smoothies,SI,RECETA_INVALIDA,arreglar unidad/ingrediente,
sm3,SMOOTHIE TROPICAL COCONUT,smoothies,SI,RECETA_INVALIDA,arreglar unidad/ingrediente,
ws-smo002,SMOOTHIE TROPICAL PINEAPLE,smoothies,SI,SIN_FUENTE,crear receta,
sd4,Agua Amalay 500ml,sodas,NO,NO_ACTION,inactivo,
sd2,COCA COLA SIN AZUCAR 355ML,sodas,SI,SIN_FUENTE,direct_stock (embotellado),
ws-so08042501,MANDOLIN KOMBUCHA 475ML,sodas,SI,SIN_FUENTE,direct_stock (embotellado),
ws-sou003,AMALAY SALAD.,soups,SI,RECETA_INVALIDA,tiene sub-recetas — materializar con soporte sub,
ws-sys13032501,FRENCH COMBO,soups,SI,SIN_FUENTE,combo → non_inventory,
ws-sou004,GREEN SALAD,soups,SI,RECETA_INVALIDA,arreglar unidad/ingrediente,
ws-tt004,TE MENTA INFUSION,tea,SI,SIN_FUENTE,receta simple (te+agua),
te2,Te Verde,tea,NO,RECETA_INVALIDA,inactivo,
ws-tt009,TISANA BORA BORA,tea,SI,SIN_FUENTE,receta simple,
ws-tt015,TISANA DATIL CITRUS,tea,SI,SIN_FUENTE,receta simple,
ws-tt005,TISANA FRESA KIWI,tea,SI,SIN_FUENTE,receta simple,
ws-tt017,TISANA HONEY BEE,tea,SI,SIN_FUENTE,receta simple,
ws-tt016,TISANA JENGIBRE LIMON,tea,SI,SIN_FUENTE,receta simple,
ws-tt006,TISANA MORAS DE LA SELVA,tea,SI,SIN_FUENTE,receta simple,
ws-tt008,TISANA PONCHE DE GUAYABA,tea,SI,SIN_FUENTE,receta simple,
t3,EL MEXICANO TOAST,toast,SI,SIN_FUENTE,crear receta,
ws-vl011,BOTELLA ARROGANT FROG TINTO,vinos,SI,SIN_FUENTE,direct_stock (botella),
ws-vl021,BOTELLA CASA MADERO 2V,vinos,SI,SIN_FUENTE,direct_stock (botella),
ws-vl006,BOTELLA CASA MADERO 3V,vinos,SI,SIN_FUENTE,direct_stock (botella),
ws-vl018,BOTELLA CHIVITE ROSADO,vinos,SI,SIN_FUENTE,direct_stock (botella),
ws-vl010,BOTELLA FLOR DE ABA TINTO,vinos,SI,SIN_FUENTE,direct_stock (botella),
ws-vl012,BOTELLA LAUS ROSADO,vinos,SI,SIN_FUENTE,direct_stock (botella),
ws-vl009,BOTELLA LAUS TINTO BARRICA,vinos,SI,SIN_FUENTE,direct_stock (botella),
ws-vl008,BOTELLA LJ VERDEJO BLANCO,vinos,SI,SIN_FUENTE,direct_stock (botella),
ws-vl016,BOTELLA MADERO V ROSADO,vinos,SI,SIN_FUENTE,direct_stock (botella),
ws-vl004,COPA FLOR DE ABA TINTO,vinos,SI,SIN_FUENTE,direct_stock (copa) o receta,
ws-vl007,COPA LAUS ROSADO,vinos,SI,SIN_FUENTE,direct_stock (copa) o receta,
ws-vl003,COPA LAUS TINTO BARRICA,vinos,SI,SIN_FUENTE,direct_stock (copa) o receta,
ws-vl001,COPA LJ VERDEJO BCO,vinos,SI,SIN_FUENTE,direct_stock (copa) o receta,
